Age,ChurnStatus,LoginFrequency,TotalAmountSpent,NumTransactions,AvgTransactionAmount,TotalInteractions,UnresolvedInteractions,DaysSinceLastLogin,Gender_M,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Online Banking,ServiceUsage_Website,MostFreqCategory_Clothing,MostFreqCategory_Electronics,MostFreqCategory_Furniture,MostFreqCategory_Groceries
1.22962809,0,0.5757024663,-1.158637052,-1.557954047,2.1137905,-1,-1.124713769,-1.021557212,1,0,1,0,1,0,0,0,0,1,0,0
1.426547124,1,-1.488512608,0.3867650234,0.7478486864,-0.349747106,-1,-1.124713769,-1.450762894,1,1,0,0,1,0,0,1,0,1,0,0
-1.658517746,0,-1.630872269,0.599337749,0.3635482309,0.4414740131,-1,-1.124713769,-1.260004813,1,0,1,0,1,0,0,1,0,0,1,0
-1.461598712,0,-1.702052099,-0.4743075633,-0.0207522246,-0.8237234725,1,0.4437805894,-0.4778966818,1,0,0,1,1,0,0,1,0,1,0,0
-1.461598712,0,1.073961277,1.007251636,1.132149142,0.01739172016,,,-1.078784636,1,0,0,0,0,1,0,1,0,1,0,0
0.9014296992,0,-1.702052099,-0.1367820862,-0.0207522246,-0.2010323257,-1,-1.124713769,-0.6972684746,0,0,0,0,0,1,0,1,0,0,1,0
-1.067760643,0,0.433342806,-1.609267727,-1.557954047,-2.042988032,,,1.715821247,0,1,0,0,0,0,0,0,0,0,0,0
-0.4113638626,1,-0.6343546464,1.069277067,0.7478486864,0.5496436406,1,2.012274948,0.7143413229,1,0,1,0,1,0,1,0,0,0,0,0
-0.2800845064,0,-0.1360958353,0.07222407465,-0.0207522246,0.1845571921,-1,-1.124713769,0.08483965641,1,0,0,0,0,0,0,1,1,0,0,0
1.623466158,1,0.2198033155,0.1817080472,0.7478486864,-0.6199640912,,,1.658593823,1,1,0,0,0,0,1,0,0,0,1,0
0.7045106649,0,0.2909831457,0.6414942711,-0.0207522246,1.234787576,1,0.4437805894,1.572752686,1,0,0,0,0,1,1,0,0,0,0,0
-0.1488051502,0,1.216320938,-1.608762122,-1.557954047,-2.038324151,1,0.4437805894,-1.698748399,0,1,0,0,1,0,0,1,0,1,0,0
-1.264679678,0,-1.132613457,-1.19208897,-0.7893531356,-1.489078627,-1,-1.124713769,0.008536424113,0,0,0,0,1,0,0,0,0,0,0,0
-0.08316547214,0,0.006263825054,2.157981208,1.516449597,0.8464053319,1,0.4437805894,1.687207535,1,0,0,1,0,1,1,0,0,0,0,1
-0.08316547214,0,1.287500768,0.8877238894,1.132149142,-0.1204291164,1,2.012274948,0.1992945049,1,0,0,0,0,1,1,0,0,0,0,0
-0.8708416092,1,1.073961277,1.032258585,1.516449597,-0.3073800183,1,-1.124713769,1.076781676,0,0,1,0,0,1,1,0,0,0,0,0
-1.592878068,0,-1.274973118,0.4931470412,0.7478486864,-0.2095605653,1,0.4437805894,-0.5637378181,1,1,0,0,1,0,1,0,0,1,0,0
0.8357900211,1,0.7892419568,-0.4277235815,-0.0207522246,-0.7377820101,-1,0.4437805894,-1.345845949,0,1,0,0,0,0,0,1,0,0,0,0
0.9014296992,0,0.9316016171,-0.3376985676,-0.0207522246,-0.5716974241,1,2.012274948,1.143547005,0,0,0,0,0,0,1,0,0,0,1,0
-0.1488051502,0,-0.7055344765,2.065414505,1.516449597,0.7515310668,-1,-1.124713769,-0.3825176414,1,0,1,0,1,0,0,1,1,0,0,0
1.360907446,0,-0.5631748162,-0.4801425179,-0.0207522246,-0.8344882141,,,0.1897566008,1,0,0,0,0,0,0,1,0,0,0,0
-0.08316547214,0,1.145141108,0.4350161351,0.3635482309,0.1888471224,1,-1.124713769,0.5808106664,0,0,0,0,1,0,0,0,0,0,1,0
-0.5426432187,0,-0.491994986,0.3093118086,-0.4050526801,1.561498747,1,0.4437805894,-0.01053938396,0,0,0,0,1,0,0,0,0,0,0,0
0.770150343,0,-0.9902537971,-0.1655742392,-0.0207522246,-0.2541501494,-1,-1.124713769,-0.8594128433,1,0,0,1,0,1,0,0,1,0,0,0
-0.01752579405,0,0.07744365521,-0.6827261292,-0.7893531356,0.07710305322,-1,-1.124713769,1.343842989,0,1,0,0,1,0,0,0,0,0,0,1
